col,default_val,transfo
RSU_BUILDING_DIRECTION_UNIQUENESS,0,LOG
RSU_BUILDING_FLOOR_AREA_DENSITY,0,LOG
RSU_BUILDING_FRACTION,0,LOG
RSU_BUILDING_FRACTION_LCZ,0,LOG
RSU_BUILDING_NUMBER_DENSITY,0,LOG
RSU_BUILDING_TOTAL_FRACTION,0,LOG
RSU_BUILDING_VOLUME_DENSITY,0,LOG
RSU_EFFECTIVE_TERRAIN_ROUGHNESS_CLASS,1,LIN
RSU_EFFECTIVE_TERRAIN_ROUGHNESS_LENGTH,0,LOG
RSU_FRACTION_BUILDING,0,LOG
RSU_FRACTION_CHAPEL,0,LOG
RSU_FRACTION_CHURCH,0,LOG
RSU_FRACTION_COMMERCIAL,0,LOG
RSU_FRACTION_HISTORIC,0,LOG
RSU_FRACTION_INDUSTRIAL,0,LOG
RSU_FRACTION_MONUMENT,0,LOG
RSU_FRACTION_RELIGIOUS,0,LOG
RSU_FRACTION_SPORTS_CENTRE,0,LOG
RSU_FRACTION_TOWNHALL,0,LOG
RSU_FREE_EXTERNAL_FACADE_DENSITY,0,LOG
RSU_GEOM_AVG_HEIGHT_ROOF,0,LOG
RSU_GROUND_LINEAR_ROAD_DENSITY,0,LOG
RSU_GROUND_SKY_VIEW_FACTOR,1,LOG
RSU_HIGH_VEGETATION_BUILDING_FRACTION,0,LOG
RSU_HIGH_VEGETATION_FRACTION,0,LOG
RSU_HIGH_VEGETATION_FRACTION_LCZ,0,LOG
RSU_HIGH_VEGETATION_IMPERVIOUS_FRACTION,0,LOG
RSU_HIGH_VEGETATION_IMPERVIOUS_FRACTION_URB,0,LOG
RSU_HIGH_VEGETATION_LOW_VEGETATION_FRACTION,0,LOG
RSU_HIGH_VEGETATION_PERVIOUS_FRACTION_URB,0,LOG
RSU_HIGH_VEGETATION_ROAD_FRACTION,0,LOG
RSU_HIGH_VEGETATION_WATER_FRACTION,0,LOG
RSU_IMPERVIOUS_FRACTION,0,LOG
RSU_IMPERVIOUS_FRACTION_LCZ,0,LOG
RSU_IMPERVIOUS_FRACTION_URB,0,LOG
RSU_LOW_VEGETATION_FRACTION,0,LOG
RSU_LOW_VEGETATION_FRACTION_LCZ,0,LOG
RSU_LOW_VEGETATION_FRACTION_URB,0,LOG
RSU_PERVIOUS_FRACTION_LCZ,0,LOG
RSU_ROAD_FRACTION,0,LOG
RSU_ROAD_FRACTION_URB,0,LOG
RSU_STD_HEIGHT_ROOF_AREA_WEIGHTED,0,LOG
RSU_VEGETATION_FRACTION_URB,0,LOG
RSU_WATER_FRACTION,0,LOG
RSU_WATER_FRACTION_LCZ,0,LOG
STD_HEIGHT_ROOF_AREA_WEIGHTED,0,LOG
VEGETATION_FRACTION_URB,0,LOG
WATER_FRACTION,0,LOG
